stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
OK,Sequoyah County,40135,14437.0,31055.0,Oklahoma,46.48848816615681,16618.0,-9.011511833843187
OK,Stephens County,40137,17904.0,33330.0,Oklahoma,53.717371737173714,15426.0,-1.782628262826286
OK,Texas County,40139,5780.0,11560.0,Oklahoma,50.0,5780.0,-5.5
OK,Tillman County,40141,2706.0,5465.0,Oklahoma,49.51509606587374,2759.0,-5.984903934126258
OK,Tulsa County,40143,247054.0,435915.0,Oklahoma,56.67481045616691,188861.0,1.1748104561669095
OK,Wagoner County,40145,31300.0,55585.0,Oklahoma,56.31015561752272,24285.0,0.8101556175227174
OK,Washington County,40147,22224.0,38475.0,Oklahoma,57.76218323586745,16251.0,2.2621832358674467
OK,Washita County,40149,4631.0,8400.0,Oklahoma,55.13095238095238,3769.0,-0.3690476190476204
OK,Woods County,40151,3668.0,7135.0,Oklahoma,51.40854940434478,3467.0,-4.091450595655218
OK,Woodward County,40153,7595.0,15080.0,Oklahoma,50.364721485411145,7485.0,-5.135278514588855
OR,Baker County,41001,8779.0,12715.0,Oregon,69.04443570585921,3936.0,13.544435705859215
OR,Benton County,41003,48753.0,67480.0,Oregon,72.24807350326023,18727.0,16.74807350326023
OR,Clackamas County,41005,214039.0,293610.0,Oregon,72.89908381867103,79571.0,17.39908381867103
OR,Clatsop County,41007,19664.0,29005.0,Oregon,67.79520772280641,9341.0,12.29520772280641
OR,Columbia County,41009,26618.0,37880.0,Oregon,70.26927138331574,11262.0,14.76927138331574
OR,Coos County,41011,31313.0,50005.0,Oregon,62.61973802619738,18692.0,7.119738026197382
OR,Crook County,41013,12172.0,16920.0,Oregon,71.9385342789598,4748.0,16.438534278959807
OR,Curry County,41015,12611.0,18625.0,Oregon,67.71006711409396,6014.0,12.21006711409396
OR,Deschutes County,41017,98557.0,130245.0,Oregon,75.67046719643749,31688.0,20.170467196437485
OR,Douglas County,41019,53521.0,85100.0,Oregon,62.891891891891895,31579.0,7.391891891891895
OR,Gilliam County,41021,1019.0,1430.0,Oregon,71.25874125874125,411.0,15.758741258741253
OR,Grant County,41023,4340.0,5830.0,Oregon,74.44253859348198,1490.0,18.942538593481984
OR,Harney County,41025,3974.0,5605.0,Oregon,70.90098126672613,1631.0,15.400981266726134
OR,Hood River County,41027,10910.0,14540.0,Oregon,75.0343878954608,3630.0,19.534387895460796
OR,Jackson County,41029,109327.0,159780.0,Oregon,68.42345725372387,50453.0,12.923457253723868
OR,Jefferson County,41031,9459.0,15955.0,Oregon,59.28549044186775,6496.0,3.7854904418677506
OR,Josephine County,41033,44560.0,66095.0,Oregon,67.41811029578638,21535.0,11.918110295786377
OR,Klamath County,41035,30507.0,49870.0,Oregon,61.17304992981752,19363.0,5.673049929817523
OR,Lake County,41037,3930.0,6195.0,Oregon,63.438256658595634,2265.0,7.938256658595634
OR,Lane County,41039,191950.0,279410.0,Oregon,68.69832862102288,87460.0,13.198328621022881
OR,Lincoln County,41041,25256.0,37055.0,Oregon,68.15814330049926,11799.0,12.658143300499262
OR,Linn County,41043,58719.0,89150.0,Oregon,65.86539540100954,30431.0,10.365395401009536
OR,Malheur County,41045,10435.0,20445.0,Oregon,51.03937393005625,10010.0,-4.46062606994375
OR,Marion County,41047,136840.0,216750.0,Oregon,63.13264129181084,79910.0,7.632641291810842
OR,Morrow County,41049,4167.0,6565.0,Oregon,63.47296268088347,2398.0,7.9729626808834695
OR,Multnomah County,41051,399103.0,570795.0,Oregon,69.9205494091574,171692.0,14.420549409157402
OR,Polk County,41053,40295.0,56645.0,Oregon,71.13602259687528,16350.0,15.636022596875279
OR,Sherman County,41055,1017.0,1400.0,Oregon,72.64285714285714,383.0,17.14285714285714
OR,Tillamook County,41057,13803.0,19745.0,Oregon,69.90630539377058,5942.0,14.40630539377058
OR,Umatilla County,41059,27597.0,51260.0,Oregon,53.837300039016775,23663.0,-1.6626999609832254
OR,Union County,41061,12968.0,19515.0,Oregon,66.45144760440687,6547.0,10.951447604406866
OR,Wallowa County,41063,4366.0,5555.0,Oregon,78.59585958595859,1189.0,23.095859585958593
OR,Wasco County,41065,11964.0,18470.0,Oregon,64.775311315647,6506.0,9.275311315647002
OR,Washington County,41067,269232.0,377435.0,Oregon,71.33201743346537,108203.0,15.832017433465367
OR,Wheeler County,41069,818.0,1200.0,Oregon,68.16666666666666,382.0,12.666666666666657
OR,Yamhill County,41071,48753.0,73045.0,Oregon,66.74378807584365,24292.0,11.243788075843653
PA,Adams County,42001,47489.0,78370.0,Pennsylvania,60.59589128493046,30881.0,5.09589128493046
PA,Allegheny County,42003,650114.0,961595.0,Pennsylvania,67.6078806566174,311481.0,12.107880656617397
PA,Armstrong County,42005,31618.0,54155.0,Pennsylvania,58.38426738066661,22537.0,2.884267380666607
PA,Beaver County,42007,83571.0,134970.0,Pennsylvania,61.91820404534341,51399.0,6.418204045343408
PA,Bedford County,42009,23637.0,38650.0,Pennsylvania,61.15653298835705,15013.0,5.65653298835705
PA,Berks County,42011,183065.0,306015.0,Pennsylvania,59.822230936392,122950.0,4.322230936392003
PA,Blair County,42013,54909.0,99495.0,Pennsylvania,55.18769787426504,44586.0,-0.3123021257349592
PA,Bradford County,42015,25708.0,47850.0,Pennsylvania,53.72622779519332,22142.0,-1.7737722048066829
PA,Bucks County,42017,344297.0,474050.0,Pennsylvania,72.62883662060963,129753.0,17.128836620609633
PA,Butler County,42019,97071.0,145675.0,Pennsylvania,66.6353183456324,48604.0,11.135318345632399
PA,Cambria County,42021,63072.0,110410.0,Pennsylvania,57.12526039308033,47338.0,1.6252603930803318
PA,Cameron County,42023,2186.0,3935.0,Pennsylvania,55.55273189326556,1749.0,0.05273189326555894
PA,Carbon County,42025,28776.0,51115.0,Pennsylvania,56.29658612931625,22339.0,0.7965861293162533
PA,Centre County,42027,76148.0,126495.0,Pennsylvania,60.19842681528914,50347.0,4.698426815289139
PA,Chester County,42029,268800.0,367555.0,Pennsylvania,73.13191223082259,98755.0,17.631912230822593
PA,Clarion County,42031,17535.0,31395.0,Pennsylvania,55.852842809364546,13860.0,0.35284280936454593
PA,Clearfield County,42033,34271.0,64075.0,Pennsylvania,53.485758876316815,29804.0,-2.0142411236831848
PA,Clinton County,42035,15394.0,31165.0,Pennsylvania,49.39515482111343,15771.0,-6.1048451788865705
PA,Columbia County,42037,28228.0,54050.0,Pennsylvania,52.225716928769664,25822.0,-3.274283071230336
PA,Crawford County,42039,37492.0,67805.0,Pennsylvania,55.29385738514859,30313.0,-0.20614261485140872
